position,title,year,duration,age_rating,imdb_rating,votes,metascore,plot,href,cover,cover_alt
4363, Aavishkar,No Year,No Duration,No Age Rating,"7,3", (283),No Metascore,"Amar and Mansi live a rather peaceful and happy married life, that is, until Amar's job in an advertising agency requires him to work closely with beautiful models, which leads to some serious trouble in paradise.",https://www.imdb.com//title/tt0156258/?ref_=sr_t_4363,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZTBhNzMwYWUtZDM1Yy00MDhlLWIxNGUtYWU2ZmM5YTAzYTRkXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZTBhNzMwYWUtZDM1Yy00MDhlLWIxNGUtYWU2ZmM5YTAzYTRkXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZTBhNzMwYWUtZDM1Yy00MDhlLWIxNGUtYWU2ZmM5YTAzYTRkXkEyXkFqcGc@._V1_QL75_UY311_CR10,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZTBhNzMwYWUtZDM1Yy00MDhlLWIxNGUtYWU2ZmM5YTAzYTRkXkEyXkFqcGc@._V1_QL75_UY414_CR14,0,280,414_.jpg 280w"
4364, Golondaaj,No Year,No Duration,No Age Rating,"7,3"," (2,4 mil)",No Metascore,"The life of Nagendra Prasad Sarbadhikari, who is known as the father of Indian football at a time when football lovers dared to take on the British and chalk their own identity.",https://www.imdb.com//title/tt11755300/?ref_=sr_t_4364,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYTY1OGE2NTEtNGMwYS00OWMzLWFiNWQtYTVmMDUxN2M3OTQwXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYTY1OGE2NTEtNGMwYS00OWMzLWFiNWQtYTVmMDUxN2M3OTQwXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYTY1OGE2NTEtNGMwYS00OWMzLWFiNWQtYTVmMDUxN2M3OTQwXkEyXkFqcGc@._V1_QL75_UX210_CR0,3,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYTY1OGE2NTEtNGMwYS00OWMzLWFiNWQtYTVmMDUxN2M3OTQwXkEyXkFqcGc@._V1_QL75_UX280_CR0,4,280,414_.jpg 280w"
4365, Chinna Veedu,No Year,No Duration,No Age Rating,"7,3", (186),No Metascore,"A young man dreams of marrying a beautiful girl. But, due to pressure from his father, he ends up with a Plain Jane. Then, he meets a gorgeous woman who, unbeknownst to him, is only behind his money.",https://www.imdb.com//title/tt0155618/?ref_=sr_t_4365,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BN2QyOTdlOTYtZGFhMC00ODdlLTk2MDQtYzAwYWUxZDVlN2MwXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BN2QyOTdlOTYtZGFhMC00ODdlLTk2MDQtYzAwYWUxZDVlN2MwXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BN2QyOTdlOTYtZGFhMC00ODdlLTk2MDQtYzAwYWUxZDVlN2MwXkEyXkFqcGc@._V1_QL75_UY311_CR7,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BN2QyOTdlOTYtZGFhMC00ODdlLTk2MDQtYzAwYWUxZDVlN2MwXkEyXkFqcGc@._V1_QL75_UY414_CR9,0,280,414_.jpg 280w"
4366, Kahani Comedy Circus Ki,No Year,No Duration,No Age Rating,"7,3", (129),No Metascore,Indian reality based comedy show.,https://www.imdb.com//title/tt2422936/?ref_=sr_t_4366,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BN2I0MGMwMWMtOTI0NC00OWI3LTg5NmYtOWRkMGQ3ZWI0Zjk0XkEyXkFqcGc@._V1_QL75_UY207_CR48,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BN2I0MGMwMWMtOTI0NC00OWI3LTg5NmYtOWRkMGQ3ZWI0Zjk0XkEyXkFqcGc@._V1_QL75_UY207_CR48,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BN2I0MGMwMWMtOTI0NC00OWI3LTg5NmYtOWRkMGQ3ZWI0Zjk0XkEyXkFqcGc@._V1_QL75_UY311_CR71,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BN2I0MGMwMWMtOTI0NC00OWI3LTg5NmYtOWRkMGQ3ZWI0Zjk0XkEyXkFqcGc@._V1_QL75_UY414_CR95,0,280,414_.jpg 280w"
4367, Ogo Bodhu Sundari,No Year,No Duration,No Age Rating,"7,3", (172),No Metascore,Suspicion arises as a married person brings a tomboy in his home.,https://www.imdb.com//title/tt0215001/?ref_=sr_t_4367,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOWE1YzA0MjItYTdhYS00MDcyLThkYjctNDg4ZWU5NDRjMjFhXkEyXkFqcGc@._V1_QL75_UY207_CR148,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOWE1YzA0MjItYTdhYS00MDcyLThkYjctNDg4ZWU5NDRjMjFhXkEyXkFqcGc@._V1_QL75_UY207_CR148,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOWE1YzA0MjItYTdhYS00MDcyLThkYjctNDg4ZWU5NDRjMjFhXkEyXkFqcGc@._V1_QL75_UY311_CR222,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOWE1YzA0MjItYTdhYS00MDcyLThkYjctNDg4ZWU5NDRjMjFhXkEyXkFqcGc@._V1_QL75_UY414_CR296,0,280,414_.jpg 280w"
4368, Moggina Manasu,No Year,No Duration,No Age Rating,"7,3", (225),No Metascore,"The movie deals with the different experiences that women face in tbs field of love, the hardships they face in life and the maturity they gain as they bloom from a bud to a flower.",https://www.imdb.com//title/tt2955162/?ref_=sr_t_4368,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYjJiMzQ1MWQtYjIzYy00YmFlLTllNjItNDgxNzY5OTg2OGM5XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYjJiMzQ1MWQtYjIzYy00YmFlLTllNjItNDgxNzY5OTg2OGM5XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYjJiMzQ1MWQtYjIzYy00YmFlLTllNjItNDgxNzY5OTg2OGM5XkEyXkFqcGc@._V1_QL75_UY311_CR1,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYjJiMzQ1MWQtYjIzYy00YmFlLTllNjItNDgxNzY5OTg2OGM5XkEyXkFqcGc@._V1_QL75_UY414_CR2,0,280,414_.jpg 280w"
4369, Machines,No Year,No Duration,No Age Rating,"7,3", (654),No Metascore,"A portrait of daily life of the workers in an Indian textile factory, revealing its beauty as well as its shameful working conditions.",https://www.imdb.com//title/tt5690244/?ref_=sr_t_4369,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMjI3NjE1NzgwNl5BMl5BanBnXkFtZTgwNjY2NzE5MDI@._V1_QL75_UY207_CR4,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMjI3NjE1NzgwNl5BMl5BanBnXkFtZTgwNjY2NzE5MDI@._V1_QL75_UY207_CR4,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMjI3NjE1NzgwNl5BMl5BanBnXkFtZTgwNjY2NzE5MDI@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMjI3NjE1NzgwNl5BMl5BanBnXkFtZTgwNjY2NzE5MDI@._V1_QL75_UY414_CR7,0,280,414_.jpg 280w"
4370, Pak Pak Pakaak,No Year,No Duration,No Age Rating,"7,3", (556),No Metascore,"A mischievous boy, living with his grandmother in a village that people believe is haunted, meets the ghost ""Bhutya"". How the ""Bhutya"" transforms the boy's character and the whole village in the process, forms the rest of the story.",https://www.imdb.com//title/tt1069262/?ref_=sr_t_4370,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMDY4NTAwZjQtY2EzOC00MDYxLWJmNDEtMDFmYTYyMTcwNDM3XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMDY4NTAwZjQtY2EzOC00MDYxLWJmNDEtMDFmYTYyMTcwNDM3XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMDY4NTAwZjQtY2EzOC00MDYxLWJmNDEtMDFmYTYyMTcwNDM3XkEyXkFqcGc@._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMDY4NTAwZjQtY2EzOC00MDYxLWJmNDEtMDFmYTYyMTcwNDM3XkEyXkFqcGc@._V1_QL75_UY414_CR16,0,280,414_.jpg 280w"
4371, Pokkisham,No Year,No Duration,No Age Rating,"7,3", (106),No Metascore,"In 1970, a marine engineer Lenin (Cheran) from Calcutta comes across a Nagore girl Nadira (Padmapriya). Started with friendship, later seeded with love, Lenin mails a letter once a month. When Lenin came to Nagore, he was disappointed and sad as Nadira and her family left the place after selling their home. Years later, Mahesh (Aryan Rajesh), son of Lenin, found his father's hidden life from reading his diary. With help from his friend Shamsudeen (Ajai.R), He marches his way to find Nadira and deliver the letter to her. He comes to know that Nadira has shifted to Malaysia after marriage. He goes to Malaysia to meet her. Once he reaches her house, he is greeted by Nadira's son who welcomes him to the house. Nadira is now very old and asks Mahesh as to who he is and how does he know her? He replies saying he is Lenin's son and also informs her that his father died few years back. Nadira is grief-stricken. Mahesh gives her Lenin's last few letters which he could not post because he did not have Nadira's address. In those letters, Lenin has spoken about his journey to find Nadira after she and her family shifted from Nagore. He describes his pain and grief over not knowing about her situation during those days, and also about his father who coaxed him to marry another girl (played by Anupama Kumar), who is now his wife and is very understanding. Nadira then drops Mahesh to the airport and while on the way she request him to let her talk to his mother. Nadira and Mahesh's mother exchange good notes and then she finally drops him to the airport. While coming back, she is talking to her herself as well as to Lenin saying that she showed her anguish and punished her father by denying to marry anyone. She currently lives with her sister and her lovable family and apologises and promises Lenin that she will join him soon and never separate.",https://www.imdb.com//title/tt2294769/?ref_=sr_t_4371,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYTNlYTc2N2EtYWFhOC00ODVlLThmYzEtYTFiMGQxNGExM2ZlXkEyXkFqcGc@._V1_QL75_UX140_CR0,6,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYTNlYTc2N2EtYWFhOC00ODVlLThmYzEtYTFiMGQxNGExM2ZlXkEyXkFqcGc@._V1_QL75_UX140_CR0,6,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYTNlYTc2N2EtYWFhOC00ODVlLThmYzEtYTFiMGQxNGExM2ZlXkEyXkFqcGc@._V1_QL75_UX210_CR0,9,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYTNlYTc2N2EtYWFhOC00ODVlLThmYzEtYTFiMGQxNGExM2ZlXkEyXkFqcGc@._V1_QL75_UX280_CR0,11,280,414_.jpg 280w"
4372, Thira,No Year,No Duration,No Age Rating,"7,3"," (1,2 mil)",No Metascore,"Rohini Pranab, a cardiac surgeon and a social worker, sets out to find the girls kidnapped from her NGO. She is joined by Naveen, who is looking for his kidnapped sister. The duo goes deeper into the human trafficking mafia in Karnataka.",https://www.imdb.com//title/tt3329774/?ref_=sr_t_4372,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOWFiYzFiZjktMzYxZC00NDk4LTliZjktYTEyZDAzNTJjN2Y1XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOWFiYzFiZjktMzYxZC00NDk4LTliZjktYTEyZDAzNTJjN2Y1XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOWFiYzFiZjktMzYxZC00NDk4LTliZjktYTEyZDAzNTJjN2Y1XkEyXkFqcGc@._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOWFiYzFiZjktMzYxZC00NDk4LTliZjktYTEyZDAzNTJjN2Y1XkEyXkFqcGc@._V1_QL75_UY414_CR16,0,280,414_.jpg 280w"
4373, Comedy Couple,No Year,No Duration,No Age Rating,"7,3"," (3,6 mil)",No Metascore,A story about two comedian couples and the up and downs between their parternship.,https://www.imdb.com//title/tt12758600/?ref_=sr_t_4373,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMWE3ZmI5YmMtNjVhMC00MTk3LThiY2UtZTNjMTRmN2UxMDQ0XkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMWE3ZmI5YmMtNjVhMC00MTk3LThiY2UtZTNjMTRmN2UxMDQ0XkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMWE3ZmI5YmMtNjVhMC00MTk3LThiY2UtZTNjMTRmN2UxMDQ0XkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMWE3ZmI5YmMtNjVhMC00MTk3LThiY2UtZTNjMTRmN2UxMDQ0XkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
4374, Boeing Boeing,No Year,No Duration,No Age Rating,"7,3"," (1,1 mil)",No Metascore,A man dates three air hostesses simultaneously with the help of his friend. Works like a charm in the start but things start to crumble which leads to a series of funny events.,https://www.imdb.com//title/tt0255013/?ref_=sr_t_4374,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYjA5NWJkMDgtNmRiMy00NzJkLWE5NDctN2ExMWYxYzJhZTUwXkEyXkFqcGc@._V1_QL75_UY207_CR14,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYjA5NWJkMDgtNmRiMy00NzJkLWE5NDctN2ExMWYxYzJhZTUwXkEyXkFqcGc@._V1_QL75_UY207_CR14,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYjA5NWJkMDgtNmRiMy00NzJkLWE5NDctN2ExMWYxYzJhZTUwXkEyXkFqcGc@._V1_QL75_UY311_CR20,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYjA5NWJkMDgtNmRiMy00NzJkLWE5NDctN2ExMWYxYzJhZTUwXkEyXkFqcGc@._V1_QL75_UY414_CR27,0,280,414_.jpg 280w"
4375, Dharavi,No Year,No Duration,No Age Rating,"7,3", (385),No Metascore,"Rajkaran lives in Dharavi, the biggest slum in the world. He aspires to start his own business and even manages to do it. But several misfortunes land him back to square one, penniless and alone.",https://www.imdb.com//title/tt0104098/?ref_=sr_t_4375,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMGYyYWI2NDUtMjE0Ni00N2I2LWEwMjUtYmZkZjNlNTIyMWJjXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMGYyYWI2NDUtMjE0Ni00N2I2LWEwMjUtYmZkZjNlNTIyMWJjXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMGYyYWI2NDUtMjE0Ni00N2I2LWEwMjUtYmZkZjNlNTIyMWJjXkEyXkFqcGc@._V1_QL75_UY311_CR7,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMGYyYWI2NDUtMjE0Ni00N2I2LWEwMjUtYmZkZjNlNTIyMWJjXkEyXkFqcGc@._V1_QL75_UY414_CR9,0,280,414_.jpg 280w"
4376, Television,No Year,No Duration,No Age Rating,"7,3", (114),No Metascore,"Television is a historic movie, set in an era when television was a novel and unprecedented. The story of this movie revolves around the hero's love story and the fact that owning a television was considered an important status symbol.",https://www.imdb.com//title/tt8983156/?ref_=sr_t_4376,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BODUxM2MyZTMtZTYzNy00YjZkLThmNDAtNDNmMmU0ZmU3ZDk2XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BODUxM2MyZTMtZTYzNy00YjZkLThmNDAtNDNmMmU0ZmU3ZDk2XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BODUxM2MyZTMtZTYzNy00YjZkLThmNDAtNDNmMmU0ZmU3ZDk2XkEyXkFqcGc@._V1_QL75_UY311_CR3,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BODUxM2MyZTMtZTYzNy00YjZkLThmNDAtNDNmMmU0ZmU3ZDk2XkEyXkFqcGc@._V1_QL75_UY414_CR4,0,280,414_.jpg 280w"
4377, Saattai,No Year,No Duration,No Age Rating,"7,3", (772),No Metascore,A teacher fights to change the pitiable environment of a school.,https://www.imdb.com//title/tt2404818/?ref_=sr_t_4377,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYzVkOTY2YzMtYmNmMC00NWEwLTkxNjUtZjk1YjY5MGE2YTQ5XkEyXkFqcGc@._V1_QL75_UY207_CR24,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYzVkOTY2YzMtYmNmMC00NWEwLTkxNjUtZjk1YjY5MGE2YTQ5XkEyXkFqcGc@._V1_QL75_UY207_CR24,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYzVkOTY2YzMtYmNmMC00NWEwLTkxNjUtZjk1YjY5MGE2YTQ5XkEyXkFqcGc@._V1_QL75_UY311_CR36,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYzVkOTY2YzMtYmNmMC00NWEwLTkxNjUtZjk1YjY5MGE2YTQ5XkEyXkFqcGc@._V1_QL75_UY414_CR48,0,280,414_.jpg 280w"
4378, Secret,No Year,No Duration,No Age Rating,"7,3", (629),No Metascore,"Secret promises to be a gripping tale that explores the science of omens (Nimitha Shasthram), psychological turmoil, and the strength of friendships.",https://www.imdb.com//title/tt27494298/?ref_=sr_t_4378,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMWM5ZTY3MmUtN2M4NS00NTY4LTlhYzItMGQyZjE1OGM4MWI2XkEyXkFqcGc@._V1_QL75_UY207_CR12,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMWM5ZTY3MmUtN2M4NS00NTY4LTlhYzItMGQyZjE1OGM4MWI2XkEyXkFqcGc@._V1_QL75_UY207_CR12,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMWM5ZTY3MmUtN2M4NS00NTY4LTlhYzItMGQyZjE1OGM4MWI2XkEyXkFqcGc@._V1_QL75_UY311_CR18,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMWM5ZTY3MmUtN2M4NS00NTY4LTlhYzItMGQyZjE1OGM4MWI2XkEyXkFqcGc@._V1_QL75_UY414_CR24,0,280,414_.jpg 280w"
4379, Onbadhu Roobai Nottu,No Year,No Duration,No Age Rating,"7,3", (124),No Metascore,An old homeless farmer narrates his tragic life story to a young man who helps him and it leaves a lasting impact on the man.,https://www.imdb.com//title/tt2325604/?ref_=sr_t_4379,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYzZkYmJkYmItMGMyMi00ZTEwLWEyMDgtNzUwZjMwZmI2NTA1XkEyXkFqcGc@._V1_QL75_UY207_CR68,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYzZkYmJkYmItMGMyMi00ZTEwLWEyMDgtNzUwZjMwZmI2NTA1XkEyXkFqcGc@._V1_QL75_UY207_CR68,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYzZkYmJkYmItMGMyMi00ZTEwLWEyMDgtNzUwZjMwZmI2NTA1XkEyXkFqcGc@._V1_QL75_UY311_CR102,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYzZkYmJkYmItMGMyMi00ZTEwLWEyMDgtNzUwZjMwZmI2NTA1XkEyXkFqcGc@._V1_QL75_UY414_CR136,0,280,414_.jpg 280w"
4380, Chatriyan,No Year,No Duration,No Age Rating,"7,3", (192),No Metascore,"When his daughter's life is endangered by a local gang, Joseph Kuruvilla will do whatever it takes to stop them. However, at the same time, his dangerous past slowly resurfaces",https://www.imdb.com//title/tt0319171/?ref_=sr_t_4380,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZWNiOTFlYzEtNzZiMy00YWQ1LWFiNjgtM2I5YTgxZjRjMTU0XkEyXkFqcGc@._V1_QL75_UY207_CR33,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZWNiOTFlYzEtNzZiMy00YWQ1LWFiNjgtM2I5YTgxZjRjMTU0XkEyXkFqcGc@._V1_QL75_UY207_CR33,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZWNiOTFlYzEtNzZiMy00YWQ1LWFiNjgtM2I5YTgxZjRjMTU0XkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZWNiOTFlYzEtNzZiMy00YWQ1LWFiNjgtM2I5YTgxZjRjMTU0XkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
4381, Naalaiya Theerpu,No Year,No Duration,No Age Rating,"7,3"," (1,3 mil)",No Metascore,"Srividya is molested by her husband Radharavi. Radharavi has affairs with many other women. Srividya has a son, whom she raises on her own. However, things change when her son grows up.",https://www.imdb.com//title/tt1988733/?ref_=sr_t_4381,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOTRjMGUwMzctNGE0My00ZGJjLWFhZWItNjJjOWYyNjRjOGYwXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOTRjMGUwMzctNGE0My00ZGJjLWFhZWItNjJjOWYyNjRjOGYwXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOTRjMGUwMzctNGE0My00ZGJjLWFhZWItNjJjOWYyNjRjOGYwXkEyXkFqcGc@._V1_QL75_UY311_CR9,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOTRjMGUwMzctNGE0My00ZGJjLWFhZWItNjJjOWYyNjRjOGYwXkEyXkFqcGc@._V1_QL75_UY414_CR13,0,280,414_.jpg 280w"
4382, Narasimhapuram,No Year,No Duration,No Age Rating,"7,3"," (2,2 mil)",No Metascore,"After Nanda's sister is brutally raped and burnt in front of him, he becomes an amnesiac. When some goons try to do the same to his girlfriend Siri, he seeks revenge.",https://www.imdb.com//title/tt14917786/?ref_=sr_t_4382,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMDdiZTYwMmQtMThjOS00MTE4LWFkZjItMDdhOWJiMGVlMTJkXkEyXkFqcGc@._V1_QL75_UY207_CR86,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMDdiZTYwMmQtMThjOS00MTE4LWFkZjItMDdhOWJiMGVlMTJkXkEyXkFqcGc@._V1_QL75_UY207_CR86,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMDdiZTYwMmQtMThjOS00MTE4LWFkZjItMDdhOWJiMGVlMTJkXkEyXkFqcGc@._V1_QL75_UY311_CR128,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMDdiZTYwMmQtMThjOS00MTE4LWFkZjItMDdhOWJiMGVlMTJkXkEyXkFqcGc@._V1_QL75_UY414_CR171,0,280,414_.jpg 280w"
4383, Mayabazaar 2016,No Year,No Duration,No Age Rating,"7,3", (939),No Metascore,"An honest cop, a conman and a hopeless romantic form an unusual team during the days of demonetisation to pull off a scam. A scam that is bigger than demonetisation, but things go haywire.",https://www.imdb.com//title/tt9628392/?ref_=sr_t_4383,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYzI5MTFmZTYtZDI5NC00NGNhLWE5OTItYmM2YjBkZjViNzZhXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYzI5MTFmZTYtZDI5NC00NGNhLWE5OTItYmM2YjBkZjViNzZhXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYzI5MTFmZTYtZDI5NC00NGNhLWE5OTItYmM2YjBkZjViNzZhXkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYzI5MTFmZTYtZDI5NC00NGNhLWE5OTItYmM2YjBkZjViNzZhXkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
4384, Love Ka Panga,No Year,No Duration,No Age Rating,"7,3", (101),No Metascore,"Love ka Panga, Hungama Play's latest original show is a romantic comedy about a modern city girl who wants to enjoy a peaceful holiday, a desi munda who thinks he's the coolest dude on earth.",https://www.imdb.com//title/tt13187966/?ref_=sr_t_4384,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNWY2MDRmNDAtNzdiOS00ZDI3LWIwOTEtYTIxN2U3NWYwNWJhXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNWY2MDRmNDAtNzdiOS00ZDI3LWIwOTEtYTIxN2U3NWYwNWJhXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNWY2MDRmNDAtNzdiOS00ZDI3LWIwOTEtYTIxN2U3NWYwNWJhXkEyXkFqcGc@._V1_QL75_UX210_CR0,3,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNWY2MDRmNDAtNzdiOS00ZDI3LWIwOTEtYTIxN2U3NWYwNWJhXkEyXkFqcGc@._V1_QL75_UX280_CR0,4,280,414_.jpg 280w"
4385, Uttama Villain,No Year,No Duration,No Age Rating,"7,3"," (3,8 mil)",No Metascore,"Manoranjan, a superstar, is counting his last days due to brain tumor. How he goes about his final wish of doing a comedy film with his mentor Margadarsi forms the crux of the story.",https://www.imdb.com//title/tt3681422/?ref_=sr_t_4385,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNWQzNmZjOGQtNDYwNC00YTBkLWI4MmMtNjdiYWViMTBhNzI2XkEyXkFqcGc@._V1_QL75_UY207_CR14,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNWQzNmZjOGQtNDYwNC00YTBkLWI4MmMtNjdiYWViMTBhNzI2XkEyXkFqcGc@._V1_QL75_UY207_CR14,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNWQzNmZjOGQtNDYwNC00YTBkLWI4MmMtNjdiYWViMTBhNzI2XkEyXkFqcGc@._V1_QL75_UY311_CR20,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNWQzNmZjOGQtNDYwNC00YTBkLWI4MmMtNjdiYWViMTBhNzI2XkEyXkFqcGc@._V1_QL75_UY414_CR27,0,280,414_.jpg 280w"
